timestamp,class,count,max_confidence,snapshot
2026-08-17 00:10:37,fire,1,0.591,fire_20260817_001037_601.jpg
2026-08-17 00:10:48,fire,1,0.524,fire_20260817_001048_609.jpg
2026-08-17 00:11:01,smoke,1,0.586,smoke_20260817_001101_194.jpg
2026-08-17 00:11:10,fire,1,0.562,fire_20260817_001110_896.jpg
2026-08-17 00:11:18,fire,1,0.642,fire_20260817_001118_187.jpg
2026-08-17 00:17:16,fire,1,0.800,fire_20260817_001716_824.jpg
2026-08-17 00:17:22,fire,1,0.824,fire_20260817_001722_361.jpg
2026-08-17 00:23:55,fire,1,0.687,fire_20260817_002355_543.jpg
2026-08-17 00:24:07,fire,1,0.652,fire_20260817_002407_243.jpg
2026-08-17 00:26:25,fire,1,0.605,fire_20260817_002625_177.jpg
2026-08-17 00:26:57,fire,1,0.812,fire_20260817_002657_564.jpg
2026-08-17 00:27:03,fire,1,0.823,fire_20260817_002703_281.jpg
2026-08-17 00:27:42,smoke,1,0.613,smoke_20260817_002742_934.jpg
2026-08-17 00:27:52,smoke,1,0.740,smoke_20260817_002752_966.jpg
2026-08-17 22:45:29,fire,1,0.649,fire_20260817_224529_212.jpg
2026-08-17 22:45:37,fire,1,0.617,fire_20260817_224537_242.jpg
2026-08-17 23:08:40,fire,1,0.659,fire_20260817_230840_418.jpg
2026-08-17 23:08:46,fire,1,0.648,fire_20260817_230846_121.jpg
2026-08-17 23:09:48,smoke,1,0.322,smoke_20260817_230948_339.jpg
2026-08-17 23:09:48,fire,2,0.282,fire_20260817_230948_339.jpg
2026-08-17 23:09:54,fire,1,0.533,fire_20260817_230954_939.jpg
2026-08-17 23:09:54,smoke,1,0.352,smoke_20260817_230954_939.jpg
2026-08-18 00:22:38,fire,1,0.673,fire_20260818_002238_397.jpg
2026-08-18 00:22:43,fire,1,0.650,fire_20260818_002243_984.jpg
2026-08-18 00:22:50,smoke,1,0.740,smoke_20260818_002250_171.jpg
2026-08-19 10:01:28,fire,1,0.636,fire_20260819_100128_622.jpg
2026-08-19 19:42:28,fire,1,0.646,fire_20260819_194228_533.jpg
2026-08-19 19:42:34,fire,1,0.639,fire_20260819_194234_627.jpg
2026-08-19 19:42:40,fire,1,0.691,fire_20260819_194240_832.jpg
2026-08-19 19:42:51,fire,1,0.622,fire_20260819_194251_623.jpg
2026-08-19 19:42:57,fire,1,0.802,fire_20260819_194257_730.jpg
2026-08-19 19:43:03,fire,1,0.806,fire_20260819_194303_823.jpg
2026-08-19 19:44:59,fire,1,0.634,fire_20260819_194459_487.jpg
2026-08-19 19:45:43,fire,1,0.629,fire_20260819_194543_576.jpg
2026-08-19 19:46:13,fire,1,0.657,fire_20260819_194613_028.jpg
2026-08-19 20:44:24,fire,1,0.777,fire_20260819_204424_901.jpg
2026-08-19 20:47:24,fire,1,0.640,fire_20260819_204724_193.jpg
2026-08-19 20:47:30,fire,1,0.651,fire_20260819_204730_387.jpg
